"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene_1001",7676.06681147445,-1.88264215631519,0.0706071957697606,-26.6636018580062,1.24476911517318e-156,1.32941341500495e-152
"gene_10114",15082.3252903866,-2.05316659926958,0.0850893038655286,-24.1295498493479,1.22429498293579e-128,6.53773520887709e-125
"gene_816",11645.7084037544,-2.68540143208617,0.113858864815659,-23.5853522379124,5.44849518412437e-123,1.93966428554828e-119
"gene_12757",3860.82754773337,-3.32789260371168,0.151236850825718,-22.0045087261613,2.60728479284214e-107,6.96145039688852e-104
"gene_9517",1114.90430521923,3.39339147740093,0.160174902496681,21.1855379619866,1.29834315213278e-99,2.77326097295561e-96
"gene_5248",827.534482215286,2.84131071374488,0.161413315341284,17.6027033936906,2.34841940443771e-69,4.18018653989913e-66
"gene_7494",865.833508933005,-1.6460247384765,0.101746069228948,-16.1777722810365,7.23657394242618e-59,1.10409442435874e-55
"gene_13665",1248.16966845475,-1.48615562974245,0.0948249531630956,-15.6726218170265,2.32775800813428e-55,3.10755694085927e-52
"gene_13998",28833.5901527876,-1.61340182169366,0.104716337629788,-15.4073553202141,1.4606850113403e-53,1.73334621345716e-50
"gene_6738",11228.5252395641,-1.13819974801185,0.0743547758173947,-15.307688517643,6.79356953856108e-53,7.25553226718324e-50
"gene_1619",2213.14881934172,-1.46363146086484,0.0976582095636407,-14.9872854254106,8.89136412177804e-51,8.63270625641722e-48
"gene_14553",1159.9396758127,-2.7563540231858,0.184212063105351,-14.9629398678926,1.28233726920854e-50,1.1412801695956e-47
"gene_13600",307.592552624222,-2.16169750717878,0.144542421075862,-14.9554538459282,1.43500069604432e-50,1.17890826413487e-47
"gene_10618",5039.58584288281,-2.49217053033864,0.175370823495764,-14.2108617651489,7.84540792945173e-46,5.98492547761032e-43
"gene_6064",897.441584522106,-1.95142040936224,0.137883379904944,-14.1526876604529,1.79753730232016e-45,1.27984655925196e-42
"gene_13016",7324.14956635992,-1.16511851262335,0.0833684744897784,-13.975528756571,2.19874531174386e-44,1.46766249558902e-41
"gene_55",9479.67866685961,1.46585623927502,0.107209120575855,13.6728687951307,1.47464772803742e-42,9.2642574914351e-40
"gene_14004",2179.11010509187,-1.3950690237979,0.106277422084867,-13.126673534515,2.31608973123858e-39,1.37421324053489e-36
"gene_7614",5000.86810674051,-1.7011853657724,0.130529362557077,-13.0329707618737,7.94528323918643e-39,4.4660855260269e-36
"gene_4920",2245.72056083541,1.84705628766539,0.141996718154992,13.0077392749972,1.10564835330226e-38,5.90416220663407e-36
