gene_id,SRR10229809,SRR10229810,SRR10229811,SRR10229812,SRR10229813,SRR10229814,SRR10229815,SRR10229816
gene_1,3,0,0,0,0,0,0,0
gene_2,31,14,5,0,12,17,7,6
gene_3,9,4,15,0,97,20,10,68
gene_11,11,3,6,4,123,10,5,81
gene_12,13,0,15,9,118,26,6,74
gene_21,5,12,10,4,19,0,6,19
gene_22,47,6,8,0,128,26,14,108
gene_23,61,30,110,27,587,80,20,393
gene_24,109,60,48,29,695,119,35,245
gene_25,15,0,0,4,23,0,0,10
gene_27,0,2,10,4,51,0,5,20
gene_28,6,0,10,0,111,8,10,53
gene_29,100,51,75,33,485,75,19,152
gene_30,37,11,30,10,207,37,14,43
gene_31,163,67,36,19,549,141,48,115
gene_32,35,6,4,0,91,27,16,16
gene_33,109,43,45,18,651,96,38,160
gene_34,20,13,8,0,73,35,0,38
gene_38,0,0,0,0,11,9,0,5
gene_48,4,0,2,0,19,0,0,32
gene_51,5,0,0,0,8,2,0,0
gene_53,0,0,0,0,7,0,0,0
gene_52,91,20,50,52,377,61,11,327
gene_54,6,6,0,0,106,11,0,41
gene_55,5984,2290,10332,3968,85318,4644,1754,63071
gene_56,1304,450,1578,637,24392,1038,382,19466
gene_57,15222,5625,19606,8561,145371,12455,4876,118442
gene_58,4,0,4,0,24,4,0,6
gene_61,12,0,11,4,71,11,0,42
gene_62,741,311,518,208,3398,621,243,1904
gene_63,721,291,411,166,4264,645,278,2473
gene_64,6,0,0,0,22,15,0,24
gene_65,738,332,459,181,3685,544,263,2250
gene_67,588,320,551,230,3078,443,211,1820
gene_68,827,285,987,381,3728,622,214,2409
gene_69,6,0,6,3,15,7,0,6
gene_73,1,0,6,0,22,7,6,10
gene_74,20,13,14,4,96,13,0,56
gene_75,0,4,0,0,17,0,0,0
gene_76,1535,574,1057,372,8799,1018,429,5262
gene_77,427,133,259,88,1796,313,117,1140
gene_78,479,214,300,187,1713,359,196,1053
gene_79,1336,604,816,413,8975,897,419,5712
gene_80,121,80,75,19,363,137,49,191
gene_82,402,136,309,122,1747,213,169,1070
gene_83,985,407,600,307,5020,803,302,3232
gene_85,416,208,286,125,2391,320,112,1401
gene_86,677,280,906,340,6494,556,179,4261
gene_87,3755,1868,5928,2924,32784,3197,1505,31298
gene_88,1473,593,1988,726,18790,1289,532,15011
gene_89,35,4,24,9,169,13,4,100
gene_90,371,112,194,83,802,247,68,672
gene_91,5,0,33,0,560,6,6,173
gene_92,5,0,251,121,1835,13,5,730
gene_93,2,0,7,0,30,0,2,4
gene_94,38,16,32,11,299,24,25,163
gene_95,0,0,3,0,16,0,0,28
gene_99,37,11,15,0,128,16,6,57
gene_100,127,68,29,10,101,101,40,167
gene_101,1085,430,454,139,2480,743,309,3234
gene_104,8,11,0,0,15,23,9,17
gene_105,6,0,0,0,4,0,0,0
gene_108,24,21,11,0,103,28,6,71
gene_109,7,1,0,1,8,2,0,5
gene_119,5,0,0,0,31,3,0,11
gene_120,4,0,0,0,10,6,0,13
gene_121,136,72,74,42,569,121,56,292
gene_122,8,2,0,4,38,3,0,14
gene_123,178,64,154,44,1499,160,45,695
gene_125,99,27,197,82,1838,76,30,746
gene_126,336,138,464,224,4345,335,131,2339
gene_1034,2639,1019,2202,773,12082,2348,941,8374
gene_1035,12,0,5,6,76,11,7,31
gene_1036,390,99,175,56,1662,249,108,904
gene_1037,7,7,0,0,20,5,0,0
gene_1038,1234,583,503,224,3296,1061,471,1835
gene_1039,254,109,120,35,725,234,101,416
gene_1040,1,0,0,0,36,0,0,15
gene_1041,23,2,0,0,60,0,0,55
gene_1042,96,34,94,29,1533,53,37,1010
gene_1043,174,120,148,70,1088,141,59,725
gene_1044,245,91,152,53,1062,150,50,609
gene_1045,859,329,379,181,4128,524,226,2621
gene_1046,97,46,77,60,519,118,40,286
gene_1047,94,39,66,11,346,98,40,305
gene_1048,601,222,366,173,2468,603,211,1389
