"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene_5231",5990.79855359112,-3.44815965304628,0.119222175142938,-28.9221333943304,6.29129313414053e-184,6.43410548828552e-180
"gene_683",30785.4883940909,-3.55511888337151,0.125395150570517,-28.3513267235342,8.06063662973402e-177,4.12180654061449e-173
"gene_9557",14179.931053137,-2.76475954540631,0.106476369912857,-25.9659448163858,1.20128729649855e-148,4.09518839376356e-145
"gene_10668",902.83213662261,-2.53906667296896,0.0997767400082831,-25.4474807731559,7.5276509694211e-143,1.92463216160674e-139
"gene_3229",13548.0856616984,-1.88382516723042,0.0776859277764752,-24.2492459207121,6.73439461278241e-130,1.37745307409851e-126
"gene_3332",2900.46746659587,-3.55350931787681,0.147577721215996,-24.0789008571007,4.15916343183412e-128,7.08929406956126e-125
"gene_9029",5835.13078355748,-1.18464437327409,0.0511462880976538,-23.1618836348837,1.10346967143989e-118,1.61216918997367e-115
"gene_10098",7452.0814833069,-2.07372278387193,0.0911387590028627,-22.7534674222062,1.32595045731713e-114,1.69506191587279e-111
"gene_3193",11098.4743657455,-1.45719441799013,0.0689419083728758,-21.1365547078973,3.66904137659607e-99,4.16925401760534e-96
"gene_6922",1181.47896331378,-3.565671542559,0.174110889878159,-20.4793137583423,3.29264337808904e-93,3.36738638277166e-90
"gene_7716",13134.9174654072,-2.17690235500641,0.107890938282851,-20.1768785187442,1.56310598864815e-90,1.45326226780951e-87
"gene_1932",39182.5938032392,-1.46212539343894,0.072700168871894,-20.1117193553618,5.82686663125939e-90,4.96594708649081e-87
"gene_9118",2897.76371961719,-1.70307111959942,0.0901849090259612,-18.8842139776308,1.53810496919135e-79,1.21001534768615e-76
"gene_6363",6031.00446408894,-1.34220137733428,0.0715600842365168,-18.7562855976819,1.72007801261902e-78,1.25651698821819e-75
"gene_444",49760.9918392734,-1.05265575382315,0.0567967331068991,-18.5337377035737,1.10348795170617e-76,7.52358085473264e-74
"gene_288",17037.2883144594,1.52005278705972,0.0833174879021742,18.2441024727541,2.30491544504312e-74,1.4732731410285e-71
