gene_id,SRR10229797,SRR10229798,SRR10229799,SRR10229800,SRR10229801,SRR10229802,SRR10229803,SRR10229804,SRR10229805
gene_2,73,36,85,28,51,10,221,171,112
gene_7,3,5,4,0,17,9,113,47,68
gene_6,4,6,6,0,0,0,12,6,0
gene_17,0,0,13,0,7,8,81,51,87
gene_12,28,20,33,31,49,5,154,107,128
gene_16,29,10,33,17,67,19,252,125,103
gene_4,950,411,1301,537,1096,370,17052,10852,12005
gene_21,7,3,2,0,18,4,10,16,18
gene_19,1157,546,1066,478,1093,303,4886,3312,3456
gene_20,1923,836,1816,739,1517,533,7335,4490,4883
gene_22,7983,3321,7157,2722,5472,1979,9051,6402,6508
gene_23,2225,924,1533,706,403,178,471,454,340
gene_24,20,11,14,0,18,5,58,28,38
gene_2158,8,10,20,0,24,0,52,40,40
gene_2156,96,59,78,31,117,37,242,173,142
gene_2157,1078,503,966,452,1220,374,1427,1041,898
gene_2159,2124,913,2492,948,2940,1075,13746,9014,9527
gene_2160,699,255,569,267,461,149,5578,3284,3304
gene_2161,214,105,204,91,185,79,1661,970,984
gene_2162,1962,823,2021,920,2697,921,4290,2861,2792
gene_2163,498,161,451,164,314,101,1277,911,970
gene_2164,196,83,206,75,331,97,2306,1294,1443
gene_2165,82,28,98,49,110,36,212,169,169
gene_2166,50,8,17,12,22,13,202,127,171
gene_2167,89,37,66,11,90,27,212,182,123
gene_2168,3,0,8,5,7,0,53,37,45
gene_2169,41,21,24,7,34,21,65,48,46
gene_2170,25,25,24,9,21,9,68,19,49
gene_2173,17,4,7,7,11,0,48,41,49
gene_2174,40,13,16,10,30,4,54,54,45
gene_2176,367,150,418,169,418,135,3740,2112,2458
gene_2177,387,163,539,241,660,246,2222,1105,1406
gene_2178,580,213,599,295,654,239,1203,833,911
gene_2180,20,7,10,17,26,0,53,31,74
gene_2181,73,42,109,29,87,37,841,444,470
gene_2182,33,21,80,6,64,22,494,246,282
gene_2183,20,6,26,7,9,6,85,63,34
gene_2184,48,16,59,23,44,20,251,204,191
gene_2185,19,13,10,8,37,0,151,62,103
gene_2186,0,0,0,0,7,4,44,19,18
gene_2187,70,20,90,31,97,26,415,281,277
gene_2188,443,153,564,190,499,219,2181,1484,2090
gene_2179,17316,7800,19732,8001,22124,7521,122090,77609,87765
gene_2194,80,21,91,39,158,67,1800,693,788
gene_2195,71,35,107,35,83,10,819,523,526
gene_2196,15,0,10,16,10,3,226,151,145
gene_2200,0,0,0,3,0,0,20,0,0
gene_2201,0,0,7,2,0,0,8,5,0
gene_2202,1,1,1,0,0,0,4,1,7
gene_2189,4159,1887,3165,1403,1929,703,7944,6504,5553
gene_2190,1089,485,1184,534,1445,507,4889,2705,2986
gene_2191,64,25,27,18,56,15,96,80,87
gene_2192,995,474,1163,483,1346,488,7248,3721,4903
gene_2197,687,243,817,326,750,242,2832,1562,1938
gene_2204,62,35,44,18,19,6,183,127,113
gene_2205,250,118,237,114,262,98,1028,634,692
gene_2206,9,13,23,0,8,2,72,55,24
gene_2209,5,5,15,0,5,0,36,26,19
gene_2210,23,0,19,0,10,6,80,29,45
gene_2207,1752,688,2066,896,2497,836,9723,6103,6797
gene_2214,42,7,50,17,37,14,519,316,317
gene_2215,17,0,0,0,0,0,25,16,3
gene_2218,46,31,85,37,63,35,443,307,286
gene_2211,16,17,6,10,24,11,60,48,37
gene_2212,2606,1064,2807,1148,3654,1226,10501,6198,7115
gene_2221,264,73,265,98,228,109,1091,677,751
gene_2223,78,48,85,52,68,22,758,463,462
gene_2224,4,0,11,0,6,0,14,6,10
gene_2225,2,0,0,0,2,0,7,0,6
gene_2226,57,20,58,26,76,44,565,378,328
gene_2230,437,178,398,152,352,134,2051,1222,1360
gene_2231,57,42,93,23,28,10,331,158,220
gene_2233,14,5,10,10,63,9,271,170,149
